species,accepted_name,status,count
Linden Littleleaf,Tilia cordata,English name instead of Latin name,3952
Azardiraecta indica,Azadirachta indica,Typo,1092
Styphnolobium - japonicum,Styphnolobium japonicum,Formatting,868
Tilia x europea,Tilia × europaea,Typo,831
Ligustrum japonica,Ligustrum japonicum,Typo,721
Prunus kanzan,Prunus serrulata 'Kanzan',Species name omitted,670
Melia azederach,Melia azedarach,Typo,668
Acer saccarinum,Acer saccharinum,Typo,521
tree,,Nonsense,411
Malus unidentified species,Malus sp.,Formatting,604
MALUS SPP,Malus sp.,Formatting,413
Platanus xacerifolia,Platanus × acerifolia,Typo, 313
To Be Accrued (Tree),,Nonsense,299
Walnut Black,Juglans nigra,English name instead of Latin name,287
Plane London,Platanus × hispanica,English name instead of Latin name,278
Crataegus lavallei,Crataegus × lavalleei,Typo,275
Gingko biloba,Ginkgo biloba,Typo,260
Acer plat. 'Columnare',Acer platanoides 'Columnare',Formatting,272
Acer platanoïdes Columnare,Acer platanoides 'Columnare',Formatting,308
Magnolia x soulangiana,Magnolia × soulangeana,Typo,240
Quercus Illex,Quercus ilex,Typo,224
Populus euroamericana,Populus × euramericana,Typo,200
M. excelsa,Metrosideros excelsa,Genus omitted,442
B. platyphylla,Betula platyphylla,Genus omitted,420
x europaea,Tilia x europaea,Genus omitted,398
nigra subsp. nigra,Pinus nigra subsp. nigra,Genus omitted,325
Maple - Sugar,Acer saccharum,English name instead of Latin name,313
S. romanzoffiana,Syagrus romanzoffiana,Genus omitted,270
B. pendula,Betula pendula,Genus omitted,231
x subhirtella,Prunus x subhirtella,Genus omitted,196
Essence non définie,,Nonsense,194
Non spécifié n. sp.,,Nonsense,191
Quercus pedonculata,Quercus robur,Typo,184
Birch White,Betula papyrifera,English name instead of Latin name,181
Oak White,Quercus alba,English name instead of Latin name,179
Branchychiton populneus,Brachychiton populneus,Typo,178
Zellkova serrata,Zelkova serrata,Typo,156
Cassea siamea,Senna siamea,Typo,138
Prunus hillierii x Spire,Prunus × hillieri 'Spire',Typo,127
A. Heterophylla,Araucaria heterophylla,Genus omitted,126
Gymnocladus dioica,Gymnocladus dioicus,Typo,118
Albizzia julibrissin,Albizia julibrissin,Typo,110
Crataegus x lavallei,Crataegus × lavalleei,Typo,107
To Be De-Accrued (Tree),,Nonsense,107
Schinus terebinthifolius,Schinus terebinthifolia,Typo,102
Sequioadendron giganteum,Sequoiadendron giganteum,Typo,98
Thuya plicata,Thuja plicata,Typo,98
L. styraciflua,Liquidambar styraciflua,Genus omitted,97
Prunus Kanzan,Prunus serrulata 'Kanzan',Typo,95
Fraxinus execlsior,Fraxinus excelsior,Typo,94	
Ligustrum japonica "variegata",Ligustrum japonicum 'Variegata',Typo,94
Tilia xeuropaea,Tilia x europaea,Typo,92
Prunus 'Kanzan',Prunus serrulata 'Kanzan',Typo,90
Alnus gultinosa,Alnus glutinosa,Typo,88
C. sempervirens,Cupressus sempervirens,Genus omitted,82
O. Europaea,Olea europaea,Genus omitted,78
F. excelsior,Fraxinus excelsior,Genus omitted,76
Copressum Sempervirens,Cupressus sempervirens,Typo,71
Q. ilex,Quercus ilex,Genus omitted,69
P. pinea,Pinus pinea,Genus omitted,68
A. rubrum,Acer rubrum,Genus omitted,66
T. platyphyllos,Tilia platyphyllos,Genus omitted,66	
Figueira benjamina,Ficus benjamina,Typo,65	
nicht bestimmt nicht bestimmt,,Nonsense,65
Cercidiphyllum japonic,Cercidiphyllum japonicum,Typo,64
Picea omorica,Picea omorika,Typo,64
Ulmus leavis,Ulmus laevis,Typo,64
x schmittii,Prunus x schmittii,Genus omitted,64
F. ornus 'Mecsek',Fraxinus ornus 'Mecsek',Genus omitted,62
Fraxinus angustifoli,Fraxinus angustifolia,Typo,56
G. biloba,Ginkgo biloba,Genus omitted,54
Acer plat. 'Cleveland',Acer platanoides 'Cleveland',Typo,53	
P. calleryana,Pyrus calleryana,Genus omitted,51
Acer - campestre - Queen Elisabeth,Acer campestre 'Queen Elisabeth',Typo,50




